# NPC 퀘스트 (2026-09-14). id 는 세이브 · 서버 크레딧 원장(quest:<id>) · data/crypto.csv 의 unlockQuest 가 찾는 값이므로 바꾸지 않는다.
# npc = data/npcs.csv 의 id. 같은 NPC 의 퀘스트는 이 파일의 줄 순서대로 하나씩 제안된다 (그 NPC 에 대기 중인 제안이 있으면 다음 제안은 오지 않는다).
# 제안 조건(모두 만족): reqLevel = 캐릭터 레벨 · reqRep = "기업:신뢰도 레벨" | … · reqQuests = 먼저 완료한 퀘스트 id | ….
# 보상: rewardCredits (서버 원장으로 한 번만 지급 — 암호화폐 해금 퀘스트는 0 보다 커야 한다) · rewardXp · rewardRep = "기업:양" | … · rewardItems = "아이템id:수량" | ….
# npcTrust (2026-09-14) = 이 퀘스트를 **낸 NPC** 의 개인 신뢰도 보상. 기업 신뢰도(rewardRep)와 함께 주고 서로를 대신하지 않는다 — 무소속 NPC(레이븐 · 케인)는 이것만 받는다.
#   레벨 표는 기업과 같은 REP_TABLE(data/tables.csv, 0/100/300/700/1500/3000). 체인 초반은 작게 후반은 크게 잡아, 한 NPC 의 체인을 다 깨면 기업 NPC 는 Lv.3 · 무소속은 Lv.4 가 된다.
#   크레딧이 아니라 서버 검증과 무관하다 (credits:tx 를 타지 않는다).
# 2026-09-17 사용자 결정: 기업 신뢰도 Lv.0 → 1 은 레이븐 다음에 오는 기업 NPC 첫 퀘스트로만 오른다 — q_ce_s1(민지후) = ceres:100 · q_nm_s1(차유나) = nomad:100
#   (REP_TABLE Lv.1 = 100). 계약은 Lv.1 부터(contracts.csv), Lv.0 기업은 기업 탭에서 고를 수 없다(tuning.csv CORP_ACCESS_REP_LEVEL). 헬릭스 · 바스티온은 그대로.
# 대사 (| 로 말풍선을 나눈다): offer = 퀘스트 카드 앞 · accept = 수락 뒤 · complete = 완료 보고 뒤.
#   decline · brief 는 **은퇴했다** (2026-09-14 3차 사용자 결정 — 「생각해보지」 선택지 제거). 새로 쓰이지 않고 옛 대화 기록을 푸는 데만 남는다 —
#   지우면 그 기록이 빈 말풍선이 되므로 그대로 둔다 (계약의 airstrike · secondary 와 같은 처리). 새 퀘스트 줄은 두 칸을 비워도 된다.
# 채굴 인가 퀘스트 id 는 고정: q_hx_permit · q_bs_permit · q_nm_permit · q_ce_permit. 목표는 data/npc_objectives.csv.
# 2026-09-21 (agent SURVEY): mailSubject · mailBody · mailItems = 이 퀘스트가 **제안될 때** 우편으로 보내는 소포 (MailRef.send — id npc:<npc>:<퀘스트 id>, 한 번만).
#   mailItems = "아이템id:수량" | …. 세 칸을 모두 비우면 우편이 없다. 윤시아(q_at_*)의 체인은 조사 대상 기록(npc_objectives.csv kind survey)만 쓴다.
id,npc,name,summary,reqLevel,reqRep,reqQuests,rewardCredits,rewardXp,rewardRep,rewardItems,npcTrust,offer,accept,decline,brief,complete,mailSubject,mailBody,mailItems
q_rv_0,npc_raven,첫 물건,레이븐이 새 거래 상대의 솜씨를 확인한다. 아무 행성이나 한 번 다녀오며 벌레를 정리하고 고철을 챙겨 온다.,,,,200,250,,heal_syringe:2,80,"새 거래 상대와는 큰 건부터 시작하지 않습니다. 서로 확인할 게 있으니까요.|아무 행성이든 좋습니다. 한 번 다녀오면서 벌레 몇 마리 정리하고, 쓸 만한 고철이나 챙겨 오세요.",좋습니다. 살아서 돌아오는 것까지가 조건입니다.,급할 것 없습니다. 제 쪽은 언제든 열려 있어요.,"벌레 3마리, 그리고 고철 2개. 같은 레이드에서 주운 고철을 들고 탈출하셔야 합니다.",무사히 돌아오셨군요. 이 정도면 거래할 만합니다. 다음부터는 값이 붙는 이야기를 드리죠.
q_rv_1,npc_raven,정보는 공짜가 아니다,레이븐의 정보망 운영비. 크레딧 칩과 회수 전자장비를 넘긴다.,,,q_rv_0,400,300,,gem_amber:1,250,첫 거래는 간단하게 하죠. 제 정보망은 전기를 먹어요.|크레딧 칩과 전자장비. 대가로 기업들이 당신에게 숨기는 걸 조금씩 알려 드리죠.,현명한 선택입니다.,좋아요. 정보는 기다려 줍니다. 값은 오르지만.,크레딧 칩 5개. 회수 전자장비 2개.,거래 성립. 첫 정보: 헬릭스 한서진은 장부에 없는 창고를 갖고 있어요.
q_rv_2,npc_raven,헬릭스의 장부,아켈론 II 전진기지에 숨겨진 헬릭스 비밀 장부를 찾는다. 안드로이드 경비를 뚫고 한 레이드에 기지를 뒤진다.,,,q_rv_1,700,800,bastion:80,data_core:1,350,한서진의 비밀 창고는 아켈론 II 전진기지에 있어요. 안드로이드 집사들이 지키죠.|기지를 찾아 컨테이너를 뒤져 주세요. 장부 사본은 바스티온이 아주 좋아하거든요.,바스티온에는 제가 당신 이름을 슬쩍 흘려 두죠.,헬릭스가 무섭다면 이해합니다.,아켈론 II 에서 전진기지 발견. 같은 레이드에 컨테이너 4개 조사. 안드로이드 6기 처치.,장부 확보. 바스티온이 감사 인사를 보냈네요. 그리고… 소개할 사람이 하나 있어요.
q_rv_3,npc_raven,세레스의 비밀,서하람이 지우기 전에 베르단트 III 연구소에서 세레스의 옛 실험 기록을 손에 넣는다.,8,,q_rv_2,1000,1000,helix:80,keycard_lab_mossy:1,450,세레스 서하람이 옛 연구소 기록을 지우고 다닌다더군요. 지우기 전에 사야죠.|베르단트 III 연구소입니다. 그리고 데이터 코어 하나. 기록을 담을 그릇이 필요해요.,서하람 쪽 일꾼과 마주쳐도 모른 척하세요.,양쪽에 발을 걸치는 게 불편하다면야.,베르단트 III 에서 연구소 발견. 같은 레이드에 컨테이너 3개 조사. 데이터 코어 1개 납품.,흥미로운 기록이네요. 키카드는 덤입니다. 세레스의 잠긴 방이 궁금하다면요.
q_rv_4,npc_raven,암호화 경매,암호화 데이터 코어 경매를 위해 코어를 넘기고 아켈론 II 의 안드로이드 경비망을 무력화한다.,10,,q_rv_3,1500,1400,,gem_void:1,600,큰 경매가 열려요. 네 기업이 모두 참가하죠. 물건은 암호화 데이터 코어.|그리고 경매장 주변 안드로이드 경비망을 좀 조용히 해 주세요.,수수료는 섭섭지 않게 드리죠.,경매는 당신 없이도 열립니다.,암호화 데이터 코어 1개 납품. 아켈론 II 에서 안드로이드 15기 처치.,낙찰가가 예상의 세 배였어요. 이 허공석은 당신 몫입니다.
q_kn_1,npc_kane,탈영병의 증명,케인의 신뢰를 얻기 위해 피로스 VII 레이더를 처치하고 그들의 돌격소총을 가져온다.,,,,500,600,,grenade_incendiary:3,250,레이븐 소개라도 믿진 않는다. 증명해라.|피로스 VII 레이더 여섯. 그리고 놈들 돌격소총을 들고 나와.,레이더는 원거리에서 정확하다. 머리 들지 마.,겁나면 그만둬. 그게 사는 길이다.,피로스 VII 에서 레이더 6명 처치. 그 레이드에서 얻은 돌격소총 1정을 지니고 탈출.,…쓸 만하군. 다음엔 놈들 보급선을 끊는다.
q_kn_2,npc_kane,레이더 보급선,카민 I 전진기지의 레이더 보급 상자를 털고 경비를 제거한다.,,,q_kn_1,750,850,,shield_charger_full:2,350,카민 I 전진기지가 레이더 보급 창고다. 내가 거기서 탄약을 나눠 줬었지.|레이더 열둘을 치우고 상자를 뒤져. 강하 파도가 올 테니 빨리.,보급 상자를 조사하면 놈들이 강하한다. 알고 들어가.,보급선은 오늘도 돌겠군.,카민 I 에서 레이더 12명 처치. 전진기지 컨테이너 3개 조사.,놈들 탄약줄이 끊겼다. 실드 충전기는 거기서 챙긴 거다.
q_kn_3,npc_kane,산탄 매복,케인의 옛 매복 전술. 산탄총으로 레이더에게 바짝 붙어 처치한다.,9,,q_kn_2,900,1000,,wpn_sg_g4:1,450,레이더는 원거리에서 강하다. 그러니 가까이 붙어야 한다.|산탄총으로만 레이더 열. 그리고 놈들 산탄총 하나. 내 옛 전술이다.,모퉁이를 써라. 놈들은 우회조를 한 명 보낸다.,근접은 아무나 못 하지.,산탄총 막타로 레이더 10명 처치. 그 레이드에서 얻은 산탄총 1정을 지니고 탈출. 레이더는 난이도 2 이상 행성에 있다.,내 분대에 있었으면 좋았을 텐데. 이 산탄총 가져가라.
q_kn_4,npc_kane,로든을 쫓아서,케인의 분대를 몰살한 네임드 저격수 로든을 처치한다. 스캐너로 구역을 훑어 그를 찾는다.,12,,q_kn_3,1500,1500,,armor_4:1,600,로든의 흔적을 찾았다. 개활지에 엎드려 드론으로 사냥감을 고르는 놈이다.|스캐너로 구역을 훑고 놈을 끝내라. 반짝임이 보이면 이미 늦은 거다.,드론에 네 번 들키면 끝이다. 숨어라.,…그래. 로든은 도망가지 않는다.,맵 스캐너 작동. 네임드 저격수 로든 처치. 로든은 난이도 높은 행성에 드물게 나타난다.,…끝났군. 이제야 녀석들을 묻어 줄 수 있겠다. 고맙다.
q_at_1,npc_yoon_sia,첫 기록,아틀라스 조사 카메라로 아무 대상이나 하나를 끝까지(100 %) 기록한다.,,,,300,300,atlas:100,,100,카메라는 받으셨죠? 대상은 뭐든 좋아요. 하나만 100 % 까지 기록해 주세요.|한 레이드에 다 담을 수는 없어요. 대상마다 한 번에 기록되는 양이 정해져 있거든요.,고마워요! 첫 기록이 들어오면 당신 함선을 정식 조사선으로 올릴게요.,,,들어왔어요. 선명해요! 아틀라스 측량 계정을 열어 뒀어요. 기업 네트워크에서 저희 카메라를 살 수 있어요.,아틀라스 조사 카메라,"윤시아예요. 약속한 카메라를 보내요. 퀵슬롯에 넣고 들면 조준선이 사각 프레임으로 바뀌어요. 대상을 프레임 안에 두고 좌클릭을 누르고 있으면 기록되고, 우클릭으로 줌을 당기면 상호작용 · 재장전 키로 배율을 바꿀 수 있어요. 줌을 당길수록 빨리 기록되지만 대상이 프레임 밖으로 삐져나오면 하나도 안 담겨요.",cam_survey_1:1
q_at_2,npc_yoon_sia,흔한 것부터,"스캐빈저를 끝까지, 헌터를 절반까지 기록한다. 도감은 흔한 것부터 채운다.",,,q_at_1,400,400,atlas:60,,120,도감은 흔한 것부터 채워요. 스캐빈저는 어디에나 있으니까 제일 먼저요.|헌터도 절반쯤은 담아 주세요. 빨라서 프레임에 넣기 어려울 거예요.,줌을 너무 당기면 프레임을 벗어나요. 조심하세요!,,,스캐빈저 기록은 이걸로 완성이에요. 헌터 발놀림도 잘 잡혔어요.
q_at_3,npc_yoon_sia,전진기지 측량,버려진 전진기지 한 채를 통째로 기록한다.,,,q_at_2,500,500,atlas:80,,140,"건물은 커서 멀리서 찍어야 해요. 너무 가까우면 프레임에 다 안 들어가요.|버려진 전진기지 하나, 끝까지 부탁해요.",측량 자료는 돈이 돼요. 저희도 당신도요.,,,도면 대조까지 끝났어요. 아틀라스 지도에 빈칸이 하나 줄었네요.
q_at_4,npc_yoon_sia,움직이는 표적,행성을 도는 탐사 차량을 끝까지 기록한다.,,,q_at_3,600,550,atlas:100,,160,행성마다 도는 탐사 차량 있죠? 누가 만들었는지 아무도 모른대요.|달리는 걸 프레임에 붙잡아 두는 게 요령이에요.,타고 찍으면 안 돼요. 밖에서요!,,,차체 번호가 어느 회사 것과도 안 맞아요. 흥미롭네요.
q_at_5,npc_yoon_sia,선로 위의 기록,"전차를 끝까지, 선로 플랫폼을 절반까지 기록한다.",,,q_at_4,650,600,atlas:120,,180,"선로는 누가 깔았을까요? 전차는 아직도 알아서 달린다던데.|전차 하나, 그리고 플랫폼도 조금 담아 주세요.",전차는 길어서 옆에서 찍으면 프레임을 넘어요. 비스듬히요.,,,전차 제어 장치 사진이 특히 좋았어요. 회사가 좋아하겠어요.
q_at_6,npc_yoon_sia,둥지의 구조,"벌레 둥지를 끝까지, 워리어를 절반까지 기록한다.",,,q_at_5,700,700,atlas:140,,200,벌레 둥지 내부 구조가 필요해요. 알이 붙어 있는 자리까지요.|근처에 워리어가 꼭 지키고 있을 거예요. 그것도 조금 담아 주세요.,"찍는 동안은 총을 못 쏘는 거, 잊지 마세요.",,,"둥지 배치가 행성마다 다르다는 가설, 이걸로 확인됐어요!"
q_at_7,npc_yoon_sia,녹슨 경비병,안드로이드를 끝까지 기록한다.,,,q_at_6,750,750,atlas:160,,220,안드로이드는 원래 어느 회사 경비병이었대요. 표식이 남아 있을지도 몰라요.|가까이 가지 말고 줌으로 담아 주세요.,표식이 보이면 꼭 크게 찍어 주세요.,,,표식이 긁혀 있었어요. 누가 일부러 지운 거예요.
q_at_8,npc_yoon_sia,사람을 찍는 일,로그와 레이더를 끝까지 기록한다.,,,q_at_7,900,900,atlas:180,,240,"사람을 찍는 건 벌레보다 기분이 이상해요. 그래도 장비 기록이 필요해요.|로그랑 레이더, 둘 다 끝까지요.",그 사람들도 우리를 찍고 있을지 몰라요.,,,장비 계통도가 거의 완성됐어요. 레이븐 씨가 사겠다고 할 것 같네요.
q_at_9,npc_yoon_sia,무너진 연구실,"버려진 연구실을 끝까지, 스퓨어를 절반까지 기록한다.",,,q_at_8,1000,1000,atlas:200,,260,버려진 연구실 외벽 사진이 필요해요. 세레스 쪽 것 같다는 소문이 있어요.|근처 스퓨어도 절반쯤 담아 주세요. 산을 뱉으니까 거리를 두고요.,세레스 사람들한테는 비밀이에요.,,,외벽 패널 규격이 세레스 것과 같아요. 소문이 맞았네요.
q_at_10,npc_yoon_sia,포격 아래에서,포격 버그와 차저를 끝까지 기록한다.,,,q_at_9,1200,1100,atlas:220,,280,포격 버그는 멀리서 쏘니까 찍는 쪽도 멀리서 찍어야 해요. 줌을 끝까지 당겨요.|차저도요. 이쪽으로 달려오기 전에요.,살아서 돌아오는 게 먼저예요. 사진은 그다음.,,,포격 버그 발사관 구조가 이렇게 생겼을 줄이야. 대단해요.
q_at_11,npc_yoon_sia,땅속의 거인,땅굴벌레를 끝까지 기록한다.,,,q_at_10,1400,1300,atlas:250,,300,땅굴벌레를 찍은 사람은 아틀라스에도 없어요. 찍고 살아 돌아온 사람은요.|나타나기 전에 땅이 울린대요. 그때 카메라를 드세요.,무리하지 마세요. 진심이에요.,,,"이 사진, 아틀라스 본사 로비에 걸릴 거예요. 당신 이름으로요."
q_at_12,npc_yoon_sia,추락한 배와 괴물,불시착한 함선과 베헤모스를 끝까지 기록한다.,,,q_at_11,1800,1600,atlas:300,,350,"마지막 부탁이에요. 불시착한 함선의 전체 모습, 그리고 베헤모스.|둘 다 커서 프레임에 넣기 까다로워요. 당신이라면 할 수 있어요.",이걸로 도감 1권이 끝나요.,,,"끝났어요. 아틀라스 도감 1권, 당신이 거의 다 찍었어요. 고마워요, 정말로."
